관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,관리기관전화번호,위도,경도
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  235-3,생활방범,1,130,360도전방면,031-228-3301,37.272806,126.958109
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  521,생활방범,1,130,360도전방면,031-228-3301,37.270978,126.942366
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  507,생활방범,1,130,360도전방면,031-228-3301,37.269416,126.944278
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  504,생활방범,1,130,360도전방면,031-228-3301,37.270295,126.946818
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  235-7,생활방범,1,130,360도전방면,031-228-3301,37.271424,126.958358
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  232-3,생활방범,1,130,360도전방면,031-228-3301,37.27144,126.959647
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  238-1,생활방범,1,130,360도전방면,031-228-3301,37.270616,126.958891
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  222-5,생활방범,1,130,360도전방면,031-228-3301,37.272203,126.960354
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  505-1,생활방범,1,130,360도전방면,031-228-3301,37.268866,126.945249
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  505-10,생활방범,1,130,360도전방면,031-228-3301,37.268452,126.944466
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  783-4,생활방범,1,130,360도전방면,031-228-3301,37.26778,126.938955
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  683-10,생활방범,1,130,360도전방면,031-228-3301,37.266471,126.949878
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  696,생활방범,1,130,360도전방면,031-228-3301,37.265278,126.953224
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  415-2,생활방범,1,130,360도전방면,031-228-3301,37.265941,126.956774
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  377,생활방범,1,130,360도전방면,031-228-3301,37.266264,126.959217
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  145-3,생활방범,1,130,360도전방면,031-228-3301,37.265221,126.962319
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1180-5,생활방범,1,130,360도전방면,031-228-3301,37.2536,126.961741
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  338,생활방범,1,130,360도전방면,031-228-3301,37.263796,126.95708
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  190-5,생활방범,1,130,360도전방면,031-228-3301,37.264599,126.961497
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  971-1,생활방범,1,130,360도전방면,031-228-3301,37.262253,126.952251
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1034-1,생활방범,1,130,360도전방면,031-228-3301,37.262849,126.953105
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1030-1,생활방범,1,130,360도전방면,031-228-3301,37.262656,126.95273
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  321,생활방범,1,130,360도전방면,031-228-3301,37.263506,126.960901
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1046,생활방범,1,130,360도전방면,031-228-3301,37.262416,126.957424
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  307-3,생활방범,1,130,360도전방면,031-228-3301,37.261657,126.96316
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  969-4,생활방범,1,130,360도전방면,031-228-3301,37.262242,126.950643
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1028-2,생활방범,1,130,360도전방면,031-228-3301,37.261767,126.953845
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1018-2,생활방범,1,130,360도전방면,031-228-3301,37.261017,126.957305
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1019,생활방범,1,130,360도전방면,031-228-3301,37.261293,126.955611
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1096,생활방범,1,130,360도전방면,031-228-3301,37.261436,126.960299
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1010-1,생활방범,1,130,360도전방면,031-228-3301,37.259399,126.957203
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1105,생활방범,1,130,360도전방면,031-228-3301,37.261345,126.96233
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1123-1,생활방범,1,130,360도전방면,031-228-3301,37.259573,126.963594
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  979-1,생활방범,1,130,360도전방면,031-228-3301,37.260955,126.95066
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1020-5,생활방범,1,130,360도전방면,031-228-3301,37.258895,126.955202
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  991-4,생활방범,1,130,360도전방면,031-228-3301,37.258938,126.953918
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  985,생활방범,1,130,360도전방면,031-228-3301,37.258914,126.952316
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1057-1,생활방범,1,130,360도전방면,031-228-3301,37.258384,126.959891
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1132-16,생활방범,1,130,360도전방면,031-228-3301,37.258166,126.963089
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1060-3,생활방범,1,130,360도전방면,031-228-3301,37.256479,126.961271
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1135,생활방범,1,130,360도전방면,031-228-3301,37.256755,126.963778
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1133-6,생활방범,1,130,360도전방면,031-228-3301,37.257345,126.962615
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1157,생활방범,1,130,360도전방면,031-228-3301,37.255983,126.961898
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1164-2,생활방범,1,130,360도전방면,031-228-3301,37.255092,126.961861
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  497-1,생활방범,1,130,360도전방면,031-228-3301,37.275912,126.934443
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  303-2,생활방범,1,130,360도전방면,031-228-3301,37.272694,126.945321
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  434-4,생활방범,1,130,360도전방면,031-228-3301,37.265488,126.954625
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  1010-5,생활방범,1,130,360도전방면,031-228-3301,37.258891,126.957243
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 고등동 221-6 추적,생활방범,1,200,360도전방면,031-228-3301,37.272402,127.001918
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 고등동 37-34 고정형1,생활방범,3,130,90도 정면,031-228-3301,37.273773,127.00547
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 고등동 70-42 고정형1,생활방범,2,130,90도 정면,031-228-3301,37.272903,127.006542
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 고등동 71-21 추적,생활방범,1,200,360도전방면,031-228-3301,37.271522,127.006481
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 고등동 10-22 추적,생활방범,1,200,360도전방면,031-228-3301,37.277517,127.006205
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 매교동 129 추적,생활방범,1,200,360도전방면,031-228-3301,37.269057,127.015232
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 교동 142-23 추적,생활방범,1,200,360도전방면,031-228-3301,37.269998,127.013796
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 매교동 74-2 고정형1,생활방범,2,130,90도 정면,031-228-3301,37.270603,127.01463
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 매교동 269-6 추적,생활방범,1,200,360도전방면,031-228-3301,37.264623,127.013692
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 매교동 112-8 고정형1,생활방범,3,130,90도 정면,031-228-3301,37.266599,127.013736
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 입북동 796-46 고정형1,생활방범,2,130,90도 정면,031-228-3301,37.280699,126.96161
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 권선동 1276 선일초,생활방범,5,200,360도전방면,031-228-3301,37.247835,127.029453
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 권선동 1033-22 라이브노래방,생활방범,4,200,360도전방면,031-228-3301,37.258289,127.023623
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 세류동 1018-8 영광교회,생활방범,5,200,360도전방면,031-228-3301,37.255956,127.012802
경기도 수원시 도시안전통합센터,,경기도 수원시 영통구 망포동693 헤어투데이,생활방범,5,200,360도전방면,031-228-3301,37.24294,127.058082
경기도 수원시 도시안전통합센터,,경기도 수원시 영통구 매탄동 131-42 서린낙지,생활방범,5,200,360도전방면,031-228-3301,37.273231,127.046488
경기도 수원시 도시안전통합센터,,경기도 수원시 영통구 원천동 265-7 현대자동차학원,생활방범,4,200,360도전방면,031-228-3301,37.267658,127.06505
경기도 수원시 도시안전통합센터,,경기도 수원시 영통구 원천동 326-4 초계막국수,생활방범,4,200,360도전방면,031-228-3301,37.266834,127.065064
경기도 수원시 도시안전통합센터,,경기도 수원시 영통구 원천동 70-4 서울우유,생활방범,5,200,360도전방면,031-228-3301,37.275476,127.047642
경기도 수원시 도시안전통합센터,,경기도 수원시 영통구 원천동 419-18 호산빌라,생활방범,3,200,360도전방면,031-228-3301,37.259806,127.065534
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 교동 169-3,생활방범,5,200,360도전방면,031-228-3301,37.268288,127.01152
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 매산로2가 8-10 셀프빨래방,생활방범,5,200,360도전방면,031-228-3301,37.269495,127.005937
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 인계동 559-20 민지할인마트,생활방범,5,200,360도전방면,031-228-3301,37.267544,127.019741
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 인계동 750-6 샤인펠리스,생활방범,5,200,360도전방면,031-228-3301,37.27418,127.022222
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 우만동 144-6 미소헤어,생활방범,5,200,360도전방면,031-228-3301,37.277525,127.039143
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 우만동 514-3 아람A/D,생활방범,5,200,360도전방면,031-228-3301,37.285241,127.031234
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 우만동 556-7 홀트아동복지회,생활방범,5,200,360도전방면,031-228-3301,37.280765,127.031348
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 화서동 16-40 웰빙하우스,생활방범,5,200,360도전방면,031-228-3301,37.28545,127.005833
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 화서동 78-28 수연아트빌,생활방범,5,200,360도전방면,031-228-3301,37.282408,127.004293
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 조원동 431-41 새조원이발,생활방범,4,200,360도전방면,031-228-3301,37.299045,127.018512
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 조원동 519-180 삼통치킨,생활방범,4,200,360도전방면,031-228-3301,37.298989,127.020414
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 조원동 728-9 신우주택,생활방범,4,200,360도전방면,031-228-3301,37.302614,127.014366
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 연무동 61-199,생활방범,4,200,360도전방면,031-228-3301,37.296518,127.030832
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 연무동 193-457,생활방범,4,200,360도전방면,031-228-3301,37.287763,127.021096
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 연무동 238-16 제일숯불갈비,생활방범,5,200,360도전방면,031-228-3301,37.29374,127.028944
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 영화동 341-5,생활방범,5,200,360도전방면,031-228-3301,37.290664,127.010871
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 송죽동 91-2  원빌라2동,생활방범,5,200,360도전방면,031-228-3301,37.309826,127.003731
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 송죽동 272-25 대승홈타운,생활방범,4,200,360도전방면,031-228-3301,37.303227,126.99911
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 송죽동 412-2 성모카센타,생활방범,5,200,360도전방면,031-228-3301,37.298307,127.002813
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 송죽동 441 다래마트,생활방범,5,200,360도전방면,031-228-3301,37.306072,126.999815
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 송죽동 441-22 소정공원,생활방범,5,200,360도전방면,031-228-3301,37.305363,127.000131
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 송죽동 442-24 지영마트,생활방범,4,200,360도전방면,031-228-3301,37.304328,126.999411
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 파장동 373 용광사,생활방범,5,200,360도전방면,031-228-3301,37.310909,126.998038
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 파장동 572-30 선약당한의원,생활방범,3,200,360도전방면,031-228-3301,37.307061,126.992086
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 파장동 579-25 아사달빌라,생활방범,5,200,360도전방면,031-228-3301,37.306993,126.993569
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 파장동 593 선교제일교회,생활방범,5,200,360도전방면,031-228-3301,37.307633,126.996264
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 파장동 598-6 웅진화물,생활방범,4,200,360도전방면,031-228-3301,37.305968,126.997323
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 천천동 557-3 이마트뒤,생활방범,4,200,360도전방면,031-228-3301,37.302443,126.974101
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 송죽동 286-1 파출소옆,생활방범,4,200,360도전방면,031-228-3301,37.301176,126.997834
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 고등동 35-7 고등대동회,생활방범,4,200,360도전방면,031-228-3301,37.273737,127.007316
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 세류동 138-9 그린슈퍼,생활방범,5,200,360도전방면,031-228-3301,37.262431,127.016857
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 세류동 325-7  대진철강,생활방범,4,200,360도전방면,031-228-3301,37.261982,127.011384
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 세류동 97-6 수성교회주차장,생활방범,4,200,360도전방면,031-228-3301,37.26557,127.011673
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 세류동 191-22 비엔나헤어,생활방범,5,200,360도전방면,031-228-3301,37.262982,127.009339
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 서둔동 27-23 제일맨션,생활방범,4,200,360도전방면,031-228-3301,37.26211,126.990026
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 서둔동 27-59 농산물 관리원,생활방범,5,200,360도전방면,031-228-3301,37.264581,126.990784
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 서둔동 105-1 서호천하류,생활방범,3,200,360도전방면,031-228-3301,37.269262,126.987576
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 서둔동 110-6 대양산업,생활방범,5,200,360도전방면,031-228-3301,37.269481,126.984876
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 입북동 403-1,생활방범,4,200,360도전방면,031-228-3301,37.294143,126.954161
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 탑동 838-1 승희맨션,생활방범,4,200,360도전방면,031-228-3301,37.270509,126.973903
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 탑동 888-10 북탑경로당,생활방범,5,200,360도전방면,031-228-3301,37.268936,126.978842
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 고등동 55-16 고정형1,생활방범,2,130,90도 정면,031-228-3301,37.273712,127.0042
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 고등동 54-11 고정형1,생활방범,2,130,90도 정면,031-228-3301,37.274142,127.003954
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 고등동 129-1 추적,생활방범,1,200,360도전방면,031-228-3301,37.273596,127.002991
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 고등동 124-3 추적,생활방범,1,200,360도전방면,031-228-3301,37.273707,127.003434
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 고등동 92-21 추적,생활방범,1,200,360도전방면,031-228-3301,37.270835,127.003876
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 교동 151-12 추적,생활방범,2,200,360도전방면,031-228-3301,37.269491,127.013439
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 교동 155-65 고정형1,생활방범,2,130,90도 정면,031-228-3301,37.268913,127.012645
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 매교동 98-41 추적,생활방범,1,200,360도전방면,031-228-3301,37.267307,127.012824
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 교동 161-15 고정형1,생활방범,2,130,90도 정면,031-228-3301,37.26846,127.011114
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 교동 163-20 고정형1,생활방범,2,130,90도 정면,031-228-3301,37.267715,127.010295
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 교동 159-16 고정형1,생활방범,3,130,90도 정면,031-228-3301,37.267414,127.011608
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 교동 155-6 고정형1,생활방범,2,130,90도 정면,031-228-3301,37.268858,127.012194
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 율전동 99-15 추적,생활방범,5,200,360도전방면,031-228-3301,37.303447,126.972441
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 율전동 150-2 추적,생활방범,4,200,360도전방면,031-228-3301,37.303871,126.969816
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 율전동 159-3 고정형1,생활방범,3,130,90도 정면,031-228-3301,37.3017,126.969069
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 율전동 168-28 고정형1,생활방범,3,130,90도 정면,031-228-3301,37.303013,126.967586
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 율전동 562 추적,생활방범,4,200,360도전방면,031-228-3301,37.30395,126.968189
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 천천동 385-2 추적,생활방범,5,200,360도전방면,031-228-3301,37.290067,126.977056
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 정자2동 7-12 추적,생활방범,5,200,360도전방면,031-228-3301,37.294145,127.007871
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 정자2동 38-2 추적,생활방범,4,200,360도전방면,031-228-3301,37.294682,127.002875
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 정자2동 51-13 추적,생활방범,4,200,360도전방면,031-228-3301,37.294786,127.005185
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 정자2동 886-9 추적,생활방범,5,200,360도전방면,031-228-3301,37.291757,126.997447
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 정자2동 39-26 추적,생활방범,6,200,360도전방면,031-228-3301,37.2955,127.002284
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 천천동 482 추적,생활방범,5,200,360도전방면,031-228-3301,37.300995,126.983007
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 천천동 503-8 추적,생활방범,4,200,360도전방면,031-228-3301,37.298662,126.978584
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 천천동 565-1 추적,생활방범,5,200,360도전방면,031-228-3301,37.30101,126.976196
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 천천동 553-1 추적,생활방범,4,200,360도전방면,031-228-3301,37.305202,126.97511
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 구운동 219-5 추적,생활방범,4,200,360도전방면,031-228-3301,37.2843,126.96808
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 권선1동 952 추적,생활방범,5,200,360도전방면,031-228-3301,37.262552,127.020396
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 권선1동 980-5 추적,생활방범,5,200,360도전방면,031-228-3301,37.258942,127.018728
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 권선1동 994-14 추적,생활방범,5,200,360도전방면,031-228-3301,37.258165,127.020336
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 권선1동 1043-7 추적,생활방범,4,200,360도전방면,031-228-3301,37.254905,127.028406
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 권선2동 1257-7 추적,생활방범,4,200,360도전방면,031-228-3301,37.252324,127.030938
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 세류3동 510-8 추적,생활방범,4,200,360도전방면,031-228-3301,37.256989,127.013425
경기도 수원시 도시안전통합센터,,경기도 수원시 영통구 매탄동 214-24 추적,생활방범,4,200,360도전방면,031-228-3301,37.268464,127.047515
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 인계동 560-7 추적,생활방범,4,200,360도전방면,031-228-3301,37.266641,127.019099
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 인계동 155-3 추적,생활방범,4,200,360도전방면,031-228-3301,37.275506,127.038059
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 지동 319-2 추적,생활방범,4,200,360도전방면,031-228-3301,37.278164,127.021688
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 이목동 244-6 추적,생활방범,5,200,360도전방면,031-228-3301,37.317192,126.982908
경기도 수원시 도시안전통합센터,,경기도 수원시 장안구 조원동 845-10 추적,생활방범,5,200,360도전방면,031-228-3301,37.303941,127.012211
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 화서1동 99-3 추적,생활방범,5,200,360도전방면,031-228-3301,37.279348,127.001608
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 화서2동 271-6 추적,생활방범,5,200,360도전방면,031-228-3301,37.283291,126.996572
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 화서1동 189-1 추적,생활방범,5,200,360도전방면,031-228-3301,37.279847,126.996645
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 권선1동 1310 권선늘푸른(3),시설물관리,5,200,360도전방면,031-228-3301,37.247687,127.039625
경기도 수원시 도시안전통합센터,,경기도 수원시 영통구 영통동 969-2 보리수,시설물관리,5,200,360도전방면,031-228-3301,37.248379,127.062576
경기도 수원시 도시안전통합센터,,경기도 수원시 영통구 매탄3동 1338 매여울,시설물관리,4,200,360도전방면,031-228-3301,37.258016,127.045956
경기도 수원시 도시안전통합센터,,경기도 수원시 영통구 매탄3동 1338 매여울,시설물관리,4,200,360도전방면,031-228-3301,37.257867,127.047051
경기도 수원시 도시안전통합센터,,경기도 수원시 영통구 매탄3동 1350 매여울,시설물관리,4,200,360도전방면,031-228-3301,37.252428,127.04192
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 인계동 358,시설물관리,5,200,360도전방면,031-228-3301,37.271232,127.033732
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 인계동 299,시설물관리,5,200,360도전방면,031-228-3301,37.272368,127.031932
경기도 수원시 도시안전통합센터,,경기도 수원시 팔달구 인계동 339-3,시설물관리,4,200,360도전방면,031-228-3301,37.273181,127.033541
경기도 수원시 도시안전통합센터,,경기도 수원시 영통구 하광교동 393-2,시설물관리,4,200,360도전방면,031-228-3301,37.300806,127.030234
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 구운동464,시설물관리,5,200,360도전방면,031-228-3301,37.28017,126.976931
