관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
경기도 구리시청,,경기도 구리시 교문동 327-42(딸기원 공덕사),생활방범,3,200,360도전방면,30,Dec-15,031-550-2301,37.6042775,127.1195511,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 327-154(딸기원 진솔빌라),생활방범,5,200,360도전방면,30,Dec-15,031-550-2301,37.6023518,127.1210166,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 480-46,생활방범,2,200,360도전방면,30,Dec-15,031-550-2301,37.5956583,127.1454031,2017-01-31
경기도 구리시청,,경기도 구리시 토평동 998-5(태영부동산앞),생활방범,5,200,360도전방면,30,May-16,031-550-2301,37.566535,126.977969,2017-01-31
경기도 구리시청,경기도 구리시 안골로 7번길 38 사거리,,생활방범,5,200,360도전방면,30,May-16,031-550-2301,37.598518,127.131201,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 457(도리미 마을회관),생활방범,4,200,360도전방면,30,May-16,031-550-2301,37.58804,127.128929,2017-01-31
경기도 구리시청,경기도 구리시 경춘로148번길13,,생활방범,5,200,360도전방면,30,May-16,031-550-2301,37.599948,127.131877,2017-01-31
경기도 구리시청,경기도 구리시 건원대로 99번길 55,,생활방범,5,200,360도전방면,30,May-16,031-550-2301,37.607768,127.138252,2017-01-31
경기도 구리시청,경기도 구리시 안골로57번길 36-35,,생활방범,3,200,360도전방면,30,May-16,031-550-2301,37.599081,127.137571,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 340-72 딸기원 코스모그린빌라,생활방범,6,200,360도전방면,30,May-16,031-550-2301,37.59947,127.119105,2017-01-31
경기도 구리시청,경기도 구리시 안골로64번길 7,,생활방범,3,200,360도전방면,30,May-16,031-550-2301,37.596909,127.138464,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 548(남양I 아파트 정문 쪽 ),생활방범,4,200,360도전방면,30,May-16,031-550-2301,37.599859,127.149003,2017-01-31
경기도 구리시청,경기도 구리시 안골로63번길 30,,생활방범,5,200,360도전방면,30,May-16,031-550-2301,37.59874,127.138488,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 543,생활방범,4,200,360도전방면,30,May-16,031-550-2301,37.60036,127.146751,2017-01-31
경기도 구리시청,경기도 구리시 안골로8번길 8-26 초대교회 앞,,생활방범,4,200,360도전방면,30,May-16,031-550-2301,37.595826,127.131344,2017-01-31
경기도 구리시청,경기도 구리시 이문안로 86-1 장애인 종합복지관,,생활방범,4,200,360도전방면,30,May-16,031-550-2301,37.591515,127.141046,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 276-140 한오주택,생활방범,4,200,360도전방면,30,May-16,031-550-2301,37.593146,127.147003,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 752-20 주차장,생활방범,4,200,360도전방면,30,May-16,031-550-2301,37.592885,127.13875,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 253(여성귀갓길)  한양중기,생활방범,5,200,360도전방면,30,May-16,031-550-2301,37.591846,127.157979,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 438-69 일화식당 뒤쪽골목,생활방범,4,200,360도전방면,30,May-16,031-550-2301,37.594103,127.139045,2017-01-31
경기도 구리시청,,경기도 구리시 아천동 154-8,생활방범,4,200,360도전방면,30,May-16,031-550-2301,37.572757,127.119918,2017-01-31
경기도 구리시청,,경기도 구리시 토평동 998 검배사거리,생활방범,5,200,360도전방면,30,May-16,031-550-2301,37.594004,127.150985,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 458-10 가가치킨,생활방범,5,200,360도전방면,30,May-16,031-550-2301,37.594558,127.142267,2017-01-31
경기도 구리시청,경기도 구리시 이문안로 99번길10-11,,생활방범,4,200,360도전방면,30,May-16,031-550-2301,37.592414,127.143106,2017-01-31
경기도 구리시청,경기도 구리시 벌말로129번길60 종합사회복지관 정문앞,,생활방범,3,200,360도전방면,30,May-16,031-550-2301,37.589482,127.145945,2017-01-31
경기도 구리시청,경기도 구리시 검배로60번길 25 왕통큰 치킨 앞(남양시장),,생활방범,5,200,360도전방면,30,May-16,031-550-2301,37.595702,127.144338,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 677 구리역 택시 승강장,생활방범,2,200,360도전방면,30,May-16,031-550-2301,37.602681,127.143779,2017-01-31
경기도 구리시청,경기도 구리시 건원대로 99번길 36-11 동산교회 앞,,생활방범,3,200,360도전방면,30,May-16,031-550-2301,37.60825,127.137624,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 480 우방아파트풍림아이원,생활방범,3,200,360도전방면,30,May-16,031-550-2301,37.613114,127.13633,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 220(교문초 뒤) 덕고개공원,생활방범,3,200,360도전방면,30,Jun-16,031-550-2301,37.598914,127.133182,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 750(윤희유치원앞) 가능골공원,생활방범,5,200,360도전방면,30,Jun-16,031-550-2301,37.595618,127.133359,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 449(서호주택옆)  새말공원,생활방범,3,200,360도전방면,30,Jun-16,031-550-2301,37.592566,127.141065,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 469-5(원일빌라옆 큰집부동산 인근) 원촌공원,생활방범,3,200,360도전방면,30,Jun-16,031-550-2301,37.596394,127.141765,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 477(남양시장) 서가산공원,생활방범,3,200,360도전방면,30,Jun-16,031-550-2301,37.594919,127.145375,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 498-9(구 보건소 뒤)  신대촌공원,생활방범,3,200,360도전방면,30,Jun-16,031-550-2301,37.597304,127.14865,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 526-2(LG증권 뒤)  여울목공원,생활방범,4,200,360도전방면,30,Jun-16,031-550-2301,37.600963,127.142562,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 560(동은예식장옆) 왕산내뜰공원,생활방범,4,200,360도전방면,30,Jun-16,031-550-2301,37.602675,127.147315,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 693(동구동사무소 방향) 원일공원1,생활방범,3,200,360도전방면,30,Jun-16,031-550-2301,37.611794,127.138586,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 693(동구동사무소 인근 도로방향) 원일공원2,생활방범,4,200,360도전방면,30,Jun-16,031-550-2301,37.611782,127.1389693,2017-01-31
경기도 구리시청,,경기도 구리시 토평동 1004(수택초교입구) 개맥이공원,생활방범,3,200,360도전방면,30,Jun-16,031-550-2301,37.592538,127.151518,2017-01-31
경기도 구리시청,,경기도 구리시 토평동 957(토평초교뒤)  새싹공원,생활방범,5,200,360도전방면,30,Jun-16,031-550-2301,37.592538,127.151518,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 839-1 (재난CCTV 목교인근),생활방범,4,200,360도전방면,30,Jun-16,031-550-2301,37.5838745,127.1405893,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 839-1  (장자교 인근),생활방범,5,200,360도전방면,30,Jun-16,031-550-2301,37.582337,127.1395218,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 208-34 (보건소옆),생활방범,3,200,360도전방면,30,Jun-16,031-550-2301,37.6044555,127.1446609,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 208-34 (스케이트장 맞은편),생활방범,4,200,360도전방면,30,Jun-16,031-550-2301,37.6039951,127.1428818,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 684-14 새마을공원,생활방범,5,200,360도전방면,30,Jun-16,031-550-2301,37.592138,127.148072,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 626-4 수누피공원,생활방범,3,200,360도전방면,30,Jun-16,031-550-2301,37.593976,127.144787,2017-01-31
경기도 구리시청,,경기도 구리시 토평동 983 오성공원,생활방범,3,200,360도전방면,30,Jun-16,031-550-2301,37.589173,127.147145,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 418-2 샛다리공원,생활방범,3,200,360도전방면,30,Jun-16,031-550-2301,37.591591,127.128103,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 491(동인초 옆) 아름공원,생활방범,1,200,360도전방면,30,Jun-16,031-550-2301,37.611144,127.133266,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 580-17 신동흥빌라어린이놀이터,생활방범,1,200,360도전방면,30,Jun-16,031-550-2301,37.604431,127.135712,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 437-20(쌍용아파트앞) 옥천공원,생활방범,2,200,360도전방면,30,Jun-16,031-550-2301,37.594645,127.139517,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 728 (교문초교 옆) 안골공원,생활방범,1,200,360도전방면,30,Jun-16,031-550-2301,37.598172,127.131565,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 641-23 샘터어린이놀이터,생활방범,2,200,360도전방면,30,Jun-16,031-550-2301,37.60752,127.129916,2017-01-31
경기도 구리시청,경기도 구리시 아치울길 97-18 사거리,,생활방범,5,200,360도전방면,30,Jul-16,031-550-2301,37.575822,127.112998,2017-01-31
경기도 구리시청,경기도 구리시 원수택로 42번길 19 이화목욕탕 부근,,생활방범,5,200,360도전방면,30,Jul-16,031-550-2301,37.595103,127.141749,2017-01-31
경기도 구리시청,경기도 구리시 수택천로 26 삼상부대찌개 삼거리,,생활방범,4,200,360도전방면,30,Jul-16,031-550-2301,37.598796,127.146002,2017-01-31
경기도 구리시청,경기도 구리시 검배로 13번길 6백련암사거리,,생활방범,5,200,360도전방면,30,Jul-16,031-550-2301,37.599935,127.14249,2017-01-31
경기도 구리시청,경기도 구리시 검배로 29번길 32 금화당 앞 삼거리,,생활방범,3,200,360도전방면,30,Jul-16,031-550-2301,37.599892,127.143819,2017-01-31
경기도 구리시청,경기도 구리시 검배로 15번길 31 성령충만교회 앞 골목사거리,,생활방범,5,200,360도전방면,30,Jul-16,031-550-2301,37.599242,127.143867,2017-01-31
경기도 구리시청,경기도 구리시 벌말로 133-19 공영주차장 뒷(멀티),,생활방범,1,200,360도전방면,30,Oct-16,031-550-2301,37.589223,127.148283,2017-01-31
경기도 구리시청,경기도 구리시 검배로 60번길 75  일우아파트앞(멀티),,생활방범,1,200,360도전방면,30,Oct-16,031-550-2301,37.593929,127.142772,2017-01-31
경기도 구리시청,경기도 구리시 이문안로 139번길 43 다세대주택부근(멀티),,생활방범,1,200,360도전방면,30,Oct-16,031-550-2301,37.592823,127.147444,2017-01-31
경기도 구리시청,경기도 구리시 경춘로 242번길26-16 백련암(멀티),,생활방범,2,200,360도전방면,30,Oct-16,031-550-2301,37.600064,127.142796,2017-01-31
경기도 구리시청,경기도 구리시 경춘로 276번길 17 엄마순대국앞(멀티),,생활방범,2,200,360도전방면,30,Oct-16,031-550-2301,37.602069,127.146173,2017-01-31
경기도 구리시청,경기도 구리시 수택천로 25번길 25-11 교문야식 앞(멀티),,생활방범,2,200,360도전방면,30,Oct-16,031-550-2301,37.599237,127.144646,2017-01-31
경기도 구리시청,경기도 구리시 경춘로 242번길 26 수택슈퍼앞(멀티),,생활방범,2,200,360도전방면,30,Oct-16,031-550-2301,37.600484,127.143409,2017-01-31
경기도 구리시청,경기도 구리시 경춘로 276번길  마스터수학앞(멀티),,생활방범,2,200,360도전방면,30,Oct-16,031-550-2301,37.601117,127.146559,2017-01-31
경기도 구리시청,경기도 구리시 벌말로 225-10 삼승빌라앞(멀티),,생활방범,2,200,360도전방면,30,Oct-16,031-550-2301,37.596721,127.151028,2017-01-31
경기도 구리시청,경기도 구리시 경춘로 242번길 32-12 금화당(멀티),,생활방범,2,200,360도전방면,30,Oct-16,031-550-2301,37.600064,127.143203,2017-01-31
경기도 구리시청,경기도 구리시 검배로 15번길 31 성령충만교회앞 (멀티),,생활방범,2,200,360도전방면,30,Oct-16,031-550-2301,37.599242,127.143867,2017-01-31
경기도 구리시청,,경기도 구리시 토평동 23-3 돌섬마을회관앞(멀티),생활방범,1,200,360도전방면,30,Sep-16,031-550-2301,37.5799,127.154151,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 332 동문굿모닝힐 입구,생활방범,4,200,360도전방면,30,Dec-16,031-550-2301,37.60559,127.138887,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 565-3 인창경로당 건너편,생활방범,5,200,360도전방면,30,Dec-16,031-550-2301,37.603259,127.134055,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 882(토평교),차량방범,2,145,360도전방면,30,Nov-09,031-550-2301,37.594258,127.15531,2017-01-31
경기도 구리시청,,경기도 구리시 토평동 539(코스모스 사거리),차량방범,2,145,360도전방면,30,Nov-09,031-550-2301,37.583017,127.147201,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 555(왕숙교),차량방범,2,145,360도전방면,30,Nov-09,031-550-2301,37.601937,127.148203,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 117(한진그랑빌 A),차량방범,1,145,360도전방면,30,Nov-09,031-550-2301,37.60642,127.130031,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 산 32-1(망우리 고개),차량방범,2,145,360도전방면,30,Nov-09,031-550-2301,37.601286,127.116326,2017-01-31
경기도 구리시청,,경기도 구리시 사노동 391(내양초교 앞),차량방범,3,145,360도전방면,30,Jul-10,031-550-2301,37.634744,127.138903,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 444-11,차량방범,3,145,360도전방면,30,Jun-12,031-550-2301,37.604283,127.134981,2017-01-31
경기도 구리시청,,경기도 구리시 아천동 170,차량방범,3,145,360도전방면,30,Jun-12,031-550-2301,37.569941,127.11664,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 640 북부간선도로 진입로,차량방범,2,145,360도전방면,30,Jun-12,031-550-2301,37.607634,127.131031,2017-01-31
경기도 구리시청,,경기도남양주시 도농동 431-5( 왕숙2교),차량방범,2,145,360도전방면,30,Jun-12,031-550-2301,37.604283,127.134981,2017-01-31
경기도 구리시청,,경기도 구리시 아천동 110-2 아치울삼거리,차량방범,1,145,360도전방면,30,Dec-12,031-550-2301,37.571056,127.124,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 691-1(원일가데라곡아파트앞),차량방범,1,145,360도전방면,30,Dec-12,031-550-2301,37.613091,127.138279,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 79-1(동창교 태능방향),차량방범,2,145,360도전방면,30,Dec-12,031-550-2301,37.614034,127.137487,2017-01-31
경기도 구리시청,경기도 구리시 검배로3(돌다리사거리),경기도 구리시 수택동 528,교통정보수집,1,41,360도전방면,4,Apr-10,031-550-2703,37.600857,127.141406,2017-01-31
경기도 구리시청,경기도 구리시 경춘로283(왕숙교입구),경기도 구리시 인창동 678-8,교통정보수집,1,41,360도전방면,4,Apr-10,031-550-2703,37.603523,127.148033,2017-01-31
경기도 구리시청,경기도 구리시 경춘북로355(갈매동사거리),경기도 구리시 갈매동 18-13,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.640926,127.124791,2017-01-31
경기도 구리시청,경기도 구리시 동구릉로502(사노IC),경기도 구리시 사노동 423-9,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.641957,127.140953,2017-01-31
경기도 구리시청,경기도 구리시 경춘북로82(중랑구계),경기도 구리시 갈매동 산 69-109,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.622994,127.109281,2017-01-31
경기도 구리시청,경기도 구리시 북부간선도로(인창IC),경기도 구리시 인창동 487-13,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.611363,127.13057,2017-01-31
경기도 구리시청,경기도 구리시 동구릉로42(인창삼거리),경기도 구리시 인창동 573-2,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.603911,127.133688,2017-01-31
경기도 구리시청,경기도 구리시 경춘로77(딸기원동문삼거리),경기도 구리시 교문동 301,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.601683,127.124681,2017-01-31
경기도 구리시청,경기도 구리시 아차산로479(삼육고등학교앞),경기도 구리시 교문동 357-5,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.59813,127.130522,2017-01-31
경기도 구리시청,경기도 구리시 안골로51(세무서사거리),경기도 구리시 수택1동 476-2,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.597702,127.137075,2017-01-31
경기도 구리시청,경기도 구리시 검배로36(수택동사거리),경기도 구리시 수택동 424-28,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.598011,127.142705,2017-01-31
경기도 구리시청,경기도 구리시 왕숙천로(반석교회 맞은편),경기도 구리시 수택동 353전,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.597886,127.152139,2017-01-31
경기도 구리시청,경기도 구리시 벌말로200(검배사거리),경기도 구리시 수택동 998,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.5937,127.151175,2017-01-31
경기도 구리시청,경기도 구리시 검배로(토평교),경기도 구리시 수택동 2-3,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.592992,127.16544,2017-01-31
경기도 구리시청,경기도 구리시 벌말로(벌말삼거리),경기도 구리시 수택동 613,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.586077,127.147296,2017-01-31
경기도 구리시청,경기도 구리시 아차산로(아치울삼거리),경기도 구리시 교문동 170,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.56982,127.120163,2017-01-31
경기도 구리시청,경기도 구리시 강변북로155(아천빗물펌프장),경기도 구리시 교문동 196-2,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.567809,127.121048,2017-01-31
경기도 구리시청,경기도 구리시 강변북로(토평삼거리),경기도 구리시 수택동 465-241,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.577141,127.145898,2017-01-31
경기도 구리시청,경기도 구리시 강변북로(토평IC),경기도 구리시 수택동 23,교통정보수집,1,130,360도전방면,7,Oct-12,031-550-2703,37.581653,127.159677,2017-01-31
경기도 구리시청,경기도 구리시 경춘로120(교문사거리),경기도 구리시 교문동 273,교통정보수집,1,130,360도전방면,7,Dec-14,031-550-2703,37.600102,127.129599,2017-01-31
